time,site,rh
1963-03-01,03813,0.4303831148735908
1963-04-01,03813,0.33947239642335736
1963-05-01,03813,0.4571651106016079
1963-06-01,03813,0.5341094215858359
1963-07-01,03813,0.5240266133195085
1963-08-01,03813,0.7643653276108963
1963-09-01,03813,0.6259011136338359
1963-10-01,03813,0.6590419168227195
1963-11-01,03813,0.2621770100408002
1963-12-01,03813,0.3392045903600475
1964-01-01,03813,0.9571891250705766
1964-02-01,03813,1.0
1964-03-01,03813,0.3579621532614802
1964-04-01,03813,0.2692536093691645
1964-05-01,03813,0.2700343525593334
1964-06-01,03813,0.6143839847254545
1964-07-01,03813,0.5415554409619173
1964-08-01,03813,0.9695365781196408
1964-09-01,03813,0.6457165665902018
1964-10-01,03813,0.9054093048361478
1964-11-01,03813,0.7188276728041995
1964-12-01,03813,0.4338654700033343
1965-01-01,03813,
1965-02-01,03813,
1965-03-01,03813,
1965-04-01,03813,
1965-05-01,03813,
1965-06-01,03813,
1965-07-01,03813,
1965-08-01,03813,
1965-09-01,03813,
1965-10-01,03813,
1965-11-01,03813,
1965-12-01,03813,
1966-01-01,03813,0.7993051844085022
1966-02-01,03813,0.3706289399564911
1966-03-01,03813,0.8926671688410073
1966-04-01,03813,0.30358633254837064
1966-05-01,03813,0.8080122669075582
1966-06-01,03813,0.4062199613808119
1966-07-01,03813,0.5578811653957024
1966-08-01,03813,0.4864157462268543
1966-09-01,03813,0.557701490282823
1966-10-01,03813,0.9333790805097344
1966-11-01,03813,0.8318579831112242
1966-12-01,03813,0.350454560587233
1967-01-01,03813,
1967-02-01,03813,
1967-03-01,03813,
1967-04-01,03813,
1967-05-01,03813,
1967-06-01,03813,
1967-07-01,03813,
1967-08-01,03813,
1967-09-01,03813,
1967-10-01,03813,
1967-11-01,03813,
1967-12-01,03813,
1968-01-01,03813,0.9276575488055684
1968-02-01,03813,0.6914365633388732
1968-03-01,03813,0.4557012326246003
1968-04-01,03813,0.4034296240663943
1968-05-01,03813,0.3740239494685619
1968-06-01,03813,0.4445873375372496
1968-07-01,03813,0.336902081952603
1968-08-01,03813,0.7347344465374349
1968-09-01,03813,0.9029898571403788
1968-10-01,03813,0.7589011996119697
1968-11-01,03813,0.6228518780837223
1968-12-01,03813,0.7065445665680787
1969-01-01,03813,0.859579213410217
1969-02-01,03813,0.8669719952326441
1969-03-01,03813,0.7943513492604065
1969-04-01,03813,0.2964396279427757
1969-05-01,03813,0.5032924619066403
1969-06-01,03813,0.4837972644461557
1969-07-01,03813,0.5453344825350801
1969-08-01,03813,0.6436286110745357
